date,open,high,low,close,volume,symbol
2025-06-02,200.27999877929688,202.1300048828125,200.1199951171875,201.6999969482422,35423300,AAPL
2025-06-03,201.35000610351562,203.77000427246094,200.9600067138672,203.27000427246094,46381600,AAPL
2025-06-04,202.91000366210938,206.24000549316406,202.10000610351562,202.82000732421875,43604000,AAPL
2025-06-05,203.5,204.75,200.14999389648438,200.6300048828125,55126100,AAPL
2025-06-06,203.0,205.6999969482422,202.0500030517578,203.9199981689453,46607700,AAPL
2025-06-09,204.38999938964844,206.0,200.02000427246094,201.4499969482422,72862600,AAPL
2025-06-10,200.60000610351562,204.35000610351562,200.57000732421875,202.6699981689453,54672600,AAPL
2025-06-11,203.5,204.5,198.41000366210938,198.77999877929688,60989900,AAPL
2025-06-12,199.0800018310547,199.67999267578125,197.36000061035156,199.1999969482422,43904600,AAPL
2025-06-13,199.72999572753906,200.3699951171875,195.6999969482422,196.4499969482422,51447300,AAPL
2025-06-16,197.3000030517578,198.69000244140625,196.55999755859375,198.4199981689453,43020700,AAPL
2025-06-17,197.1999969482422,198.38999938964844,195.2100067138672,195.63999938964844,38856200,AAPL
2025-06-18,195.94000244140625,197.57000732421875,195.07000732421875,196.5800018310547,45394700,AAPL
2025-06-20,198.24000549316406,201.6999969482422,196.86000061035156,201.0,96813500,AAPL
2025-06-23,201.6300048828125,202.3000030517578,198.9600067138672,201.5,55814300,AAPL
2025-06-24,202.58999633789062,203.44000244140625,200.1999969482422,200.3000030517578,54064000,AAPL
2025-06-25,201.4499969482422,203.6699981689453,200.6199951171875,201.55999755859375,39525700,AAPL
2025-06-26,201.42999267578125,202.63999938964844,199.4600067138672,201.0,50799100,AAPL
2025-06-27,201.88999938964844,203.22000122070312,200.0,201.0800018310547,73114100,AAPL
2025-06-02,457.1400146484375,462.1099853515625,456.8900146484375,461.9700012207031,16626500,MSFT
2025-06-03,461.4700012207031,464.1400146484375,460.8599853515625,462.9700012207031,15743800,MSFT
2025-06-04,464.0,465.69000244140625,463.0199890136719,463.8699951171875,14162700,MSFT
2025-06-05,464.9599914550781,469.6499938964844,464.0299987792969,467.67999267578125,20131700,MSFT
2025-06-06,470.0899963378906,473.3399963378906,468.7799987792969,470.3800048828125,15285600,MSFT
2025-06-09,469.70001220703125,473.42999267578125,468.6199951171875,472.75,16469900,MSFT
2025-06-10,471.19000244140625,472.79998779296875,466.9599914550781,470.9200134277344,15375900,MSFT
2025-06-11,470.0199890136719,475.4700012207031,469.6600036621094,472.6199951171875,16399200,MSFT
2025-06-12,475.0199890136719,480.4200134277344,473.5199890136719,478.8699951171875,18950600,MSFT
2025-06-13,476.4100036621094,479.17999267578125,472.760009765625,474.9599914550781,16814500,MSFT
2025-06-16,475.2099914550781,480.69000244140625,475.0,479.1400146484375,15626100,MSFT
2025-06-17,475.3999938964844,478.739990234375,474.0799865722656,478.0400085449219,15414100,MSFT
2025-06-18,478.0,481.0,474.4599914550781,480.239990234375,17526500,MSFT
2025-06-20,482.2300109863281,483.4599914550781,476.8699951171875,477.3999938964844,37576200,MSFT
2025-06-23,478.2099914550781,487.75,472.510009765625,486.0,24864000,MSFT
2025-06-24,488.95001220703125,491.8500061035156,486.79998779296875,490.1099853515625,22305600,MSFT
2025-06-25,492.0400085449219,494.55999755859375,489.3900146484375,492.2699890136719,17495100,MSFT
2025-06-26,492.9800109863281,498.0400085449219,492.80999755859375,497.45001220703125,21578900,MSFT
2025-06-27,497.54998779296875,499.29998779296875,493.0299987792969,495.94000244140625,34532600,MSFT
2025-06-02,167.637058963566,169.66460324672883,167.18760611208933,168.82562255859375,38612300,GOOGL
2025-06-03,167.28749382619188,168.276287066322,165.08015922486254,165.97906494140625,45084900,GOOGL
2025-06-04,166.53838821108508,168.01659436979696,166.15884281939123,167.8468017578125,26900800,GOOGL
2025-06-05,170.1340365467451,170.72331951416996,167.3873615992156,168.00662231445312,36379100,GOOGL
2025-06-06,170.6234412090639,174.2890017669552,170.6234412090639,173.46998596191406,35731800,GOOGL
2025-06-09,174.5399932861328,176.47000122070312,174.3699951171875,176.08999633789062,28935900,GOOGL
2025-06-10,176.1999969482422,181.11000061035156,174.91000366210938,178.60000610351562,61766100,GOOGL
2025-06-11,179.77000427246094,180.3699951171875,176.75,177.35000610351562,31646800,GOOGL
2025-06-12,176.17999267578125,176.72000122070312,174.75,175.6999969482422,20941900,GOOGL
2025-06-13,172.44000244140625,177.1300048828125,172.38999938964844,174.6699981689453,27663100,GOOGL
2025-06-16,174.72999572753906,176.94000244140625,174.64999389648438,176.77000427246094,27389200,GOOGL
2025-06-17,175.6999969482422,177.36000061035156,174.5800018310547,175.9499969482422,24973000,GOOGL
2025-06-18,176.00999450683594,176.55999755859375,173.1999969482422,173.32000732421875,28707500,GOOGL
2025-06-20,173.9499969482422,174.33999633789062,165.4600067138672,166.63999938964844,75659900,GOOGL
2025-06-23,166.27000427246094,167.33999633789062,162.0,165.19000244140625,57671000,GOOGL
2025-06-24,166.9199981689453,168.22000122070312,166.1300048828125,166.77000427246094,40524300,GOOGL
2025-06-25,167.6300048828125,172.36000061035156,167.5500030517578,170.67999267578125,35479000,GOOGL
2025-06-26,172.42999267578125,173.69000244140625,169.94000244140625,173.5399932861328,31796700,GOOGL
2025-06-27,173.5399932861328,178.67999267578125,171.72999572753906,178.52999877929688,108022600,GOOGL
2025-06-02,204.97999572753906,207.0,202.67999267578125,206.64999389648438,29113300,AMZN
2025-06-03,207.11000061035156,208.9499969482422,205.02999877929688,205.7100067138672,33139100,AMZN
2025-06-04,206.5500030517578,208.17999267578125,205.17999267578125,207.22999572753906,29915600,AMZN
2025-06-05,209.5500030517578,212.80999755859375,207.55999755859375,207.91000366210938,51864200,AMZN
2025-06-06,212.39999389648438,213.8699951171875,210.5,213.57000732421875,39832500,AMZN
2025-06-09,214.75,217.85000610351562,212.8800048828125,216.97999572753906,38102500,AMZN
2025-06-10,216.77999877929688,217.69000244140625,214.14999389648438,217.61000061035156,31303300,AMZN
2025-06-11,217.41000366210938,218.39999389648438,212.88999938964844,213.1999969482422,39326000,AMZN
2025-06-12,211.77999877929688,213.5800018310547,211.3300018310547,213.24000549316406,27640000,AMZN
2025-06-13,209.9600067138672,214.0500030517578,209.6199951171875,212.10000610351562,29337800,AMZN
2025-06-16,212.30999755859375,217.05999755859375,211.60000610351562,216.10000610351562,33284200,AMZN
2025-06-17,215.1999969482422,217.41000366210938,214.55999755859375,214.82000732421875,32086300,AMZN
2025-06-18,215.08999633789062,217.9600067138672,212.33999633789062,212.52000427246094,44360500,AMZN
2025-06-20,214.67999267578125,214.88999938964844,208.27000427246094,209.69000244140625,75350700,AMZN
2025-06-23,209.7899932861328,210.38999938964844,207.30999755859375,208.47000122070312,37311700,AMZN
2025-06-24,212.13999938964844,214.33999633789062,211.0500030517578,212.77000427246094,38378800,AMZN
2025-06-25,214.6199951171875,216.02999877929688,211.11000061035156,211.99000549316406,31755700,AMZN
2025-06-26,213.1199951171875,218.0399932861328,212.00999450683594,217.1199951171875,50480800,AMZN
2025-06-27,219.9199981689453,223.3000030517578,216.74000549316406,223.3000030517578,119122800,AMZN
2025-06-02,343.5,348.0199890136719,333.3299865722656,342.69000244140625,81873800,TSLA
2025-06-03,346.6000061035156,355.3999938964844,343.0400085449219,344.2699890136719,99324500,TSLA
2025-06-04,345.1000061035156,345.6000061035156,327.3299865722656,332.04998779296875,98912100,TSLA
2025-06-05,322.489990234375,324.54998779296875,273.2099914550781,284.70001220703125,287499800,TSLA
2025-06-06,298.8299865722656,305.5,291.1400146484375,295.1400146484375,164747700,TSLA
2025-06-09,285.9599914550781,309.8299865722656,281.8500061035156,308.5799865722656,140908900,TSLA
2025-06-10,314.94000244140625,327.8299865722656,310.6700134277344,326.0899963378906,151256500,TSLA
2025-06-11,334.3999938964844,335.5,322.5,326.42999267578125,122611400,TSLA
2025-06-12,323.0799865722656,332.55999755859375,316.8599853515625,319.1099853515625,105127500,TSLA
2025-06-13,313.9700012207031,332.989990234375,313.29998779296875,325.30999755859375,128964300,TSLA
2025-06-16,331.2900085449219,332.04998779296875,326.4100036621094,329.1300048828125,83925900,TSLA
2025-06-17,326.0899963378906,327.260009765625,314.739990234375,316.3500061035156,88282700,TSLA
2025-06-18,317.30999755859375,329.32000732421875,315.45001220703125,322.04998779296875,95137700,TSLA
2025-06-20,327.95001220703125,332.3599853515625,317.7799987792969,322.1600036621094,108688000,TSLA
2025-06-23,327.5400085449219,357.5400085449219,327.4800109863281,348.67999267578125,190716800,TSLA
2025-06-24,356.1700134277344,356.260009765625,340.44000244140625,340.4700012207031,114736200,TSLA
2025-06-25,342.70001220703125,343.0,320.3999938964844,327.54998779296875,119845100,TSLA
2025-06-26,324.6099853515625,331.04998779296875,323.6099853515625,325.7799987792969,80440900,TSLA
2025-06-27,324.510009765625,329.3399963378906,317.5,323.6300048828125,88826400,TSLA
2025-06-02,135.48059995132564,138.11040700485356,135.39059460313518,137.37046813964844,197663100,NVDA
2025-06-03,138.77035689954903,141.9901344074345,137.94041273370485,141.21018981933594,225578800,NVDA
2025-06-04,142.18012651028872,142.38010956756776,139.53030141372145,141.91014099121094,167120800,NVDA
2025-06-05,142.16012695808664,143.99000172763624,138.82036252431462,139.98028564453125,231397900,NVDA
2025-06-06,142.50009772583994,143.26005471165655,141.50016717206393,141.7101593017578,153986200,NVDA
