Date,CVX,MGA,MGK,MSFT,TSLA,VUG,CVX_rsi,CVX_sma,CVX_roc,MGA_rsi,MGA_sma,MGA_roc,MGK_rsi,MGK_sma,MGK_roc,MSFT_rsi,MSFT_sma,MSFT_roc,TSLA_rsi,TSLA_sma,TSLA_roc,VUG_rsi,VUG_sma,VUG_roc
2015-01-22,69.45027160644531,35.86228561401367,74.4352798461914,40.31520080566406,13.441332817077637,95.31739807128906,50.02553719439163,68.34308406284877,4.831564449112333,31.342812981434406,37.8636474609375,-1.360553425258904,60.27383696721998,72.94919150216239,2.7784601783783462,56.24629932255138,39.70481300354004,2.5456946167815575,39.61419179243274,13.538666520799909,4.634385119473212,59.531303109481165,93.52088928222656,2.630822971831452
2015-01-23,68.13037872314453,35.940982818603516,74.27139282226562,40.35797882080078,13.419333457946777,95.15390014648438,42.90777725921613,68.08211135864258,4.071292101453481,32.101557368229535,37.522101811000276,4.42026368970078,58.571826156098396,72.98170743669782,3.712652807275195,56.69518603026405,39.73047610691616,3.737942216772997,39.16058853307952,13.452856949397496,4.909576270523016,58.19969817272718,93.55397687639508,3.6406915632885277
2015-01-26,69.42478942871094,35.88103485107422,74.4808349609375,40.212547302246094,13.770000457763672,95.49903869628906,50.36620296466772,68.11854880196708,3.576899904739692,31.81314365057102,37.238372530256,2.681005330876674,60.121624224329196,73.11633573259626,2.699331773577284,54.642716000994184,39.772024154663086,1.6651947854803495,49.15472968314988,13.435999870300293,6.981928965512796,60.222411636177554,93.72980063302177,2.756043128272477
2015-01-27,69.02943420410156,36.07963562011719,73.48834228515625,36.491539001464844,13.732000350952148,94.34550476074219,48.291110384169386,68.12902396065849,1.6812111355204655,33.9309158502836,37.03039360046387,2.381962183646831,50.483794569983274,73.2327526637486,0.8748496003708137,27.355410314738933,39.589333398001536,-8.040564274545218,48.230130480769496,13.410761833190918,7.3203835258557515,51.289290420553144,93.88615907941546,1.050698775686978
2015-01-28,66.12824249267578,35.907264709472656,72.82365417480469,35.234100341796875,13.291333198547363,93.42813110351562,36.42988217110041,67.93636866978237,-4.114289431317386,32.97369119885819,36.7292673928397,2.3281070253485323,45.25188208122457,73.23535265241351,-0.5595150001838762,23.14850957195388,39.28138732910156,-10.300532384972021,39.055630556554405,13.355619021824428,1.4244275934651889,45.50789818662609,93.89459337506976,-0.45483717173917726
2015-01-29,65.675537109375,36.0721435546875,73.57939147949219,35.93553161621094,13.680000305175781,94.29098510742188,34.98584378720315,67.59888294764927,-5.4351616052139375,34.86650680208565,36.38558006286621,0.5851772609602532,51.41686212618989,73.20153209141323,-1.149842344205295,29.647988662494,38.940446036202566,-10.86356784024205,48.38207847104928,13.329809529440743,1.7756236776974226,51.0920929753418,93.84723172869,-1.07683695173836
2015-01-30,65.37584686279297,35.98221206665039,72.9511489868164,34.5583381652832,13.573332786560059,93.37362670898438,34.02433716932708,67.34018816266742,-4.043030307441726,34.297577920118016,36.097568784441265,0.11471374685261587,46.70820773626407,73.16576167515346,-1.7775940174013085,25.150523638990336,38.52557509286063,-14.370493332357873,46.28847401856422,13.315238067081996,1.1475929791586228,45.72690201017494,93.78494971139091,-1.8709411119873842
2015-02-02,67.62667083740234,36.61174774169922,73.63404846191406,35.31108856201172,14.062666893005371,94.25466918945312,46.02276097865895,67.34838703700474,-2.59002383169631,41.494392096258515,35.9273316519601,2.036487781519835,51.868076097260264,73.22039467947823,-1.1369186441955792,31.28613267415426,38.20052146911621,-12.188879016775447,55.748567428491555,13.356809479849678,2.125391615921776,51.04405791072833,93.84528732299805,-1.3030178353871658
2015-02-03,69.8392333984375,37.638526916503906,74.51724243164062,35.584815979003906,14.557332992553711,95.4536361694336,54.736882449797534,67.59114074707031,1.1731215874399,50.934492138343735,35.859075273786274,4.32069578750822,57.587545047775,73.34461702619281,1.400086210261679,33.42332212498259,37.90968377249582,-2.4847486493363293,62.8683059156786,13.423999922616142,6.010287070407303,57.19057673147206,93.99710355486188,1.1745460597212336
2015-02-04,69.08683776855469,37.07268142700195,74.30781555175781,35.79011917114258,14.569999694824219,95.12664031982422,51.68138134807838,67.79381561279297,4.474026776390729,46.48325134484605,35.9101995740618,3.2456293370122666,55.89153078389087,73.47924423217773,2.038021016345278,35.05489742867765,37.657951082502095,1.5780701761983662,63.032325210273896,13.547142778124128,9.6203027730627,55.15662253213706,94.15800312587193,1.817984793495115
2015-02-05,69.6989517211914,37.27128982543945,75.08173370361328,36.311912536621094,14.732666969299316,96.12577056884766,53.9343259578234,68.09623336791992,6.126199782905277,48.19456214495558,36.113895416259766,3.3243000071065265,60.51893166740363,73.72703497750419,2.0417975657488574,39.13736979224658,37.472817829677034,1.047378189447367,65.16066675137824,13.685809476034981,7.694931583629148,59.85465910883191,94.46617725917271,1.9458758006775354
2015-02-06,69.8902359008789,37.48115539550781,74.67202758789062,36.27769470214844,14.490667343139648,95.60804748535156,54.64600311669814,68.30072947910854,6.905285751113061,50.01350932571474,36.295107977730886,4.165789824374629,57.103541824509925,73.88052313668388,2.358946534735474,38.96439475505014,37.238803318568635,4.975229215716381,59.65783930041368,13.801476206098284,6.75835898967945,56.54867604034181,94.656920841762,2.392989171697443
2015-02-09,70.41307830810547,38.05449676513672,74.39884948730469,36.234920501708984,14.498666763305664,95.20838928222656,56.61880530670632,68.48108564104352,4.120278931669728,54.693666365073724,36.49612726484026,3.9406723590916433,54.87962626960998,73.99108341761998,1.0386513323197284,38.733933743000414,36.99256815229143,2.6162658171097566,59.778755468828756,13.923142910003662,3.1004067266725555,54.06609435583836,94.78862544468471,1.011854479968995
